"Statistic","Year","Starting population","Births","Deaths","Natural Change","Internal Inflows","Internal Outflows","Internal Net","United Kingdom Inflows","United Kingdom Outflows","United Kingdom Net","Rest of world Inflows","Rest of world Outflows","Rest of world Net","Total Inflows","Total Outflows","Total Net","Other changes","Migration and other changes","End population"
"Components of population change",2002,1688838,21460,14432,7028,0,0,0,12510,11589,921,6488,6393,95,18998,17982,1016,652,1668,1697534
"Components of population change",2003,1697534,21433,14648,6785,0,0,0,11107,11005,102,6810,6683,127,17917,17688,229,376,605,1704924
"Components of population change",2004,1704924,22049,14736,7313,0,0,0,12245,11858,387,8174,6996,1178,20419,18854,1565,240,1805,1714042
"Components of population change",2005,1714042,22549,14390,8159,0,0,0,13298,11291,2007,12544,8861,3683,25842,20152,5690,-158,5532,1727733
"Components of population change",2006,1727733,22714,14211,8503,0,0,0,12380,11510,870,15803,8797,7006,28183,20307,7876,-999,6877,1743113
"Components of population change",2007,1743113,23850,14555,9295,0,0,0,12932,11142,1790,19773,10633,9140,32705,21775,10930,-1655,9275,1761683
"Components of population change",2008,1761683,25227,14462,10765,0,0,0,12141,10707,1434,18261,11981,6280,30402,22688,7714,-1010,6704,1779152
"Components of population change",2009,1779152,25276,14566,10710,0,0,0,10857,10198,659,14404,11406,2998,25261,21604,3657,-186,3471,1793333
"Components of population change",2010,1793333,24981,14006,10975,0,0,0,10667,11279,-612,13877,12115,1762,24544,23394,1150,-625,525,1804833
"Components of population change",2011,1804833,25424,14184,11240,0,0,0,10323,11121,-798,13401,14097,-696,23724,25218,-1494,-261,-1755,1814318
"Components of population change",2012,1814318,25324,14235,11089,0,0,0,10333,12090,-1757,12922,11694,1228,23255,23784,-529,-275,-804,1824603
"Components of population change",2013,1824603,24527,14968,9559,0,0,0,10364,11815,-1451,12736,12921,-185,23100,24736,-1636,-849,-2485,1831677
"Components of population change",2014,1831677,24185,14337,9848,0,0,0,11081,11747,-666,13300,10542,2758,24381,22289,2092,-431,1661,1843186
"Components of population change",2015,1843186,24187,15403,8784,0,0,0,10473,11236,-763,13093,9782,3311,23566,21018,2548,425,2973,1854943
"Components of population change",2016,1854943,24379,15341,9038,0,0,0,10806,10806,0,12998,11115,1883,23804,21921,1883,178,2061,1866042
"Components of population change",2017,1866042,23598,15901,7697,0,0,0,10759,10167,592,11310,10469,841,22069,20636,1433,6,1439,1875178
"Components of population change",2018,1875178,23056,16365,6691,0,0,0,10450,10235,215,13100,9078,4022,23550,19313,4237,153,4390,1886259
"Components of population change",2019,1886259,22647,15349,7298,0,0,0,11447,10333,1114,14191,10392,3799,25638,20725,4913,49,4962,1898519
"Components of population change",2020,1898519,21899,16691,5208,0,0,0,10044,11570,-1526,11181,13003,-1822,21225,24573,-3348,144,-3204,1900523
"Components of population change",2021,1900523,21524,17155,4369,0,0,0,13159,15550,-2391,13296,11308,1988,26455,26858,-403,75,-328,1904564
"Components of population change",2022,1904564,21468,17712,3756,0,0,0,10094,12800,-2706,16922,11902,5020,27016,24702,2314,-91,2223,1910543
"Components of population change",2023,1910543,20072,17601,2471,0,0,0,11738,11777,-39,18797,11235,7562,30535,23012,7523,-155,7368,1920382
"Components of population change",2024,1920382,19785,17855,1930,0,0,0,11387,11589,-202,16851,10880,5971,28238,22469,5769,-226,5543,1927855
