"Statistic Label","Year","Females","Males","All persons"
"Median Age",1971,29.8,26.7,28.2
"Median Age",1972,29.9,26.8,28.4
"Median Age",1973,30.2,27,28.6
"Median Age",1974,30.4,27.1,28.6
"Median Age",1975,30.5,27.1,28.7
"Median Age",1976,30.6,27,28.7
"Median Age",1977,30.6,27.1,28.8
"Median Age",1978,30.7,27.2,28.8
"Median Age",1979,30.7,27.2,28.8
"Median Age",1980,30.7,27.1,28.8
"Median Age",1981,31.2,27.3,29.2
"Median Age",1982,31.3,27.5,29.4
"Median Age",1983,31.4,27.7,29.5
"Median Age",1984,31.5,27.9,29.6
"Median Age",1985,31.6,28.1,29.8
"Median Age",1986,31.7,28.3,29.9
"Median Age",1987,31.8,28.5,30.1
"Median Age",1988,32,28.8,30.4
"Median Age",1989,32.3,29.2,30.7
"Median Age",1990,32.6,29.5,31
"Median Age",1991,32.8,29.8,31.3
"Median Age",1992,32.9,30,31.5
"Median Age",1993,33.1,30.3,31.7
"Median Age",1994,33.4,30.6,32
"Median Age",1995,33.7,31,32.4
"Median Age",1996,33.9,31.4,32.7
"Median Age",1997,34.3,31.8,33
"Median Age",1998,34.6,32.2,33.4
"Median Age",1999,35,32.7,33.9
"Median Age",2000,35.4,33.1,34.3
"Median Age",2001,35.8,33.5,34.7
"Median Age",2002,36.1,33.9,35
"Median Age",2003,36.5,34.2,35.4
"Median Age",2004,36.8,34.6,35.7
"Median Age",2005,37.1,34.9,36
"Median Age",2006,37.3,35.2,36.2
"Median Age",2007,37.4,35.4,36.4
"Median Age",2008,37.6,35.6,36.6
"Median Age",2009,37.8,35.8,36.8
"Median Age",2010,38.1,36,37.1
"Median Age",2011,38.3,36.3,37.4
"Median Age",2012,38.6,36.5,37.6
"Median Age",2013,38.8,36.8,37.9
"Median Age",2014,39,37,38.1
"Median Age",2015,39.2,37.2,38.2
"Median Age",2016,39.4,37.4,38.4
"Median Age",2017,39.6,37.7,38.6
"Median Age",2018,39.7,37.9,38.9
"Median Age",2019,40,38.2,39.1
"Median Age",2020,40.4,38.6,39.5
"Median Age",2021,40.7,38.8,39.8
"Median Age",2022,40.9,39,40
"Median Age",2023,41.1,39.1,40.2
"Median Age",2024,41.3,39.3,40.3
